medcodeid	observations	originalreadcode	readcode	term	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	eth16	eth5
1565711000006118	1	EMISNQSO9		South African	1565711000006102	1565711000006118		19	13. African	2. Black
1564491000006115	1	EMISNQCE3		Central African	1564491000006104	1564491000006115		19	13. African	2. Black
250223019	50000	1342	1342.00	African origin	160514004	250223019		17	13. African	2. Black
30683015	500000	9S3	9S3..00	Black African	18167009	30683015		22	13. African	2. Black
285943014	4000	9S44	9S44.00	Black - other African country	185993005	285943014		22	13. African	2. Black
285971015	3000	9SA5	9SA5.00	Other African countries (NMO)	186010002	285971015		22	13. African	2. Black
141391000000115	1000000	9iC	9iC..00	African - ethnic category 2001 census	92491000000104	141391000000115		22	13. African	2. Black
141591000000113	90000	9iD0	9iD0.00	Somali - ethnic category 2001 census	92711000000100	141591000000113		22	13. African	2. Black
141601000000119	60000	9iD1	9iD1.00	Nigerian - ethnic category 2001 census	92731000000108	141601000000119		22	13. African	2. Black
1968181000006113	90000	9t0D	9t0D.00	Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census	976891000000104	2485151000000115		22	13. African	2. Black
1968351000006119	1000	9t1B	9t1B.00	Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census	977791000000109	2487041000000113		22	13. African	2. Black
1968531000006115	700	9t2C	9t2C.00	African: African, African Scottish or African British - Scotland ethnic category 2011 census	978231000000100	2487931000000115		22	13. African	2. Black
1968541000006113	500	9t2D	9t2D.00	African: any other African - Scotland ethnic category 2011 census	978251000000107	2487971000000118		22	13. African	2. Black
459730016	3000	ESCTBL5		Black - ethnic group	315240009	459730016		22	14. Other Black	2. Black
196601000006113	9000	134H	134H.00	Afro-Caribbean	413465009	2533840014		22	14. Other Black	2. Black
285931013	30000	9S4	9S4..00	Black, other, non-mixed origin	185989004	285931013		22	14. Other Black	2. Black
285932018	50000	9S41	9S41.00	Black British	185990008	285932018		22	14. Other Black	2. Black
405064011	3000	9S42	9S42.00	Black Caribbean/W.I./Guyana	270460000	405064011		22	14. Other Black	2. Black
285930014	3000	9S42-1	9S42.11	Black Caribbean	185988007	285930014		22	14. Other Black	2. Black
453109012	600	9S42-2	9S42.12	Black West Indian	309643000	453109012		22	14. Other Black	2. Black
453110019	300	9S42-3	9S42.13	Black Guyana	309644006	453110019		22	14. Other Black	2. Black
405065012	3000	9S43	9S43.00	Black N African/Arab/Iranian	270461001	405065012		22	14. Other Black	2. Black
411573013	600	9S43-1	9S43.11	Black North African	275586009	411573013		22	14. Other Black	2. Black
411574019	400	9S43-2	9S43.12	Black Arab	275587000	411574019		22	14. Other Black	2. Black
411575018	200	9S43-3	9S43.13	Black Iranian	275588005	411575018		22	14. Other Black	2. Black
514651000006112	800	9S45	9S45.00	Black East African Asian/Indo-Caribbean	270462008	405066013		22	14. Other Black	2. Black
411576017	300	9S45-1	9S45.11	Black East African Asian	275589002	411576017		22	14. Other Black	2. Black
411577014	100	9S45-2	9S45.12	Black Indo-Caribbean	275590006	411577014		22	14. Other Black	2. Black
285948017	800	9S46	9S46.00	Black Indian sub-continent	185995003	285948017		22	14. Other Black	2. Black
285949013	3000	9S47	9S47.00	Black - other Asian	185996002	285949013		22	14. Other Black	2. Black
285950013	2000	9S48	9S48.00	Black Black - other	185989004	285931013		22	14. Other Black	2. Black
285951012	20000	9S5	9S5..00	Black - other, mixed	185998001	285951012		22	14. Other Black	2. Black
405067016	1000	9SA3	9SA3.00	Caribbean I./W.I./Guyana (NMO)	270463003	405067016		22	14. Other Black	2. Black
411578016	200	9SA3-1	9SA3.11	Caribbean Island (NMO)	275591005	411578016		22	14. Other Black	2. Black
411579012	200	9SA3-2	9SA3.12	West Indian (NMO)	275592003	411579012		22	14. Other Black	2. Black
411580010	100	9SA3-3	9SA3.13	Guyana (NMO)	275593008	411580010		22	14. Other Black	2. Black
459782019	30000	9SG	9SG..00	Other black ethnic group	315279003	459782019		22	14. Other Black	2. Black
158351000000119	200000	9iD	9iD..00	Other Black background - ethnic category 2001 census	92501000000105	158351000000119		22	14. Other Black	2. Black
157311000000119	100000	9iD2	9iD2.00	Black British - ethnic category 2001 census	110791000000100	157311000000119		22	14. Other Black	2. Black
158371000000111	10000	9iD3	9iD3.00	Mixed Black - ethnic category 2001 census	92721000000106	158371000000111		22	14. Other Black	2. Black
937731000006115	30000	9iD4	9iD4.00	Other Black or Black unspecified - ethnic category 2001 census	92741000000104	141611000000117		22	14. Other Black	2. Black
1968201000006114	20000	9t0F	9t0F.00	Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census	976931000000109	2485231000000119		22	14. Other Black	2. Black
1968371000006112	600	9t1D	9t1D.00	Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census	977831000000102	2487121000000119		22	14. Other Black	2. Black
1968561000006112	300	9t2F	9t2F.00	Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census	978341000000102	2488181000000119		22	14. Other Black	2. Black
1968571000006117	400	9t2G	9t2G.00	Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census	978361000000101	2488221000000112		22	14. Other Black	2. Black
56590016	100000	9S9	9S9..00	Chinese	33897005	56590016		22	15. Chinese	3. Other
550541000006110	8000	9T1C	9T1C.00	Chinese	33897005	56590016		22	15. Chinese	3. Other
141401000000117	700000	9iE	9iE..00	Chinese - ethnic category 2001 census	92511000000107	141401000000117		22	15. Chinese	3. Other
1968161000006115	30000	9t0B	9t0B.00	Asian or Asian British: Chinese - England and Wales ethnic category 2011 census	976851000000107	2485071000000113		22	15. Chinese	3. Other
1968331000006114	300	9t19	9t19.00	Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census	977751000000101	2486961000000110		22	15. Chinese	3. Other
1968511000006114	100	9t2A	9t2A.00	Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census	978191000000109	2487851000000117		22	15. Chinese	3. Other
4740261000006118	50	^ESCTBR474026		British ethnic minority unspecified (NMO)	186007009	2668698012		22	16. Other ethnic group	3. Other
4740241000006117	70	^ESCTBR474024		British ethnic minority specified (NMO)	186006000	2668697019		22	16. Other ethnic group	3. Other
285958018	40000	9SA	9SA..00	Other ethnic non-mixed (NMO)	186005001	285958018		22	16. Other ethnic group	3. Other
285959014	3000	9SA1	9SA1.00	Brit. ethnic minor. spec.(NMO)	186006000	285959014		22	16. Other ethnic group	3. Other
285960016	900	9SA2	9SA2.00	Brit. ethnic minor. unsp (NMO)	186007009	285960016		22	16. Other ethnic group	3. Other
405068014	10000	9SA4	9SA4.00	N African Arab/Iranian (NMO)	270464009	405068014		22	16. Other ethnic group	3. Other
411581014	1000	9SA4-1	9SA4.11	North African Arab (NMO)	275594002	411581014		22	16. Other ethnic group	3. Other
411582019	2000	9SA4-2	9SA4.12	Iranian (NMO)	275595001	411582019		22	16. Other ethnic group	3. Other
285988010	10000	9SAD	9SAD.00	Other ethnic NEC (NMO)	186005001	285958018		22	16. Other ethnic group	3. Other
456650013	6000	9SC	9SC..00	Vietnamese	312859007	456650013		22	16. Other ethnic group	3. Other
459785017	100000	9SJ	9SJ..00	Ethnic group	372148003	1210724015		22	16. Other ethnic group	3. Other
286012013	80	9T13	9T13.00	New Zealand Maori	186039002	286012013		22	16. Other ethnic group	3. Other
507015012	30	9T14	9T14.00	Samoan	86275006	507015012		22	16. Other ethnic group	3. Other
286013015	6	9T15	9T15.00	Cook Island Maori	186040000	286013015		22	16. Other ethnic group	3. Other
504723011	30	9T16	9T16.00	Tongan	81560001	504723011		22	16. Other ethnic group	3. Other
286014014	2	9T17	9T17.00	Niuean	186041001	286014014		22	16. Other ethnic group	3. Other
286015010	2	9T18	9T18.00	Tokelauan	186042008	286015010		22	16. Other ethnic group	3. Other
501416013	400	9T19	9T19.00	Fijian	69865008	501416013		22	16. Other ethnic group	3. Other
286017019	200	9T1A	9T1A.00	Other Pacific ethnic group	372148003	1210724015		22	16. Other ethnic group	3. Other
286018012	4000	9T1B	9T1B.00	South East Asian	186044009	286018012		22	16. Other ethnic group	3. Other
286021014	50	9T1Y	9T1Y.00	Other New Zealand ethnic group	186035008	286006015		22	16. Other ethnic group	3. Other
286022019	200	9T1Z	9T1Z.00	New Zealand ethnic group NOS	186035008	286006015		22	16. Other ethnic group	3. Other
523591000000116	1000	9T3	9T3..00	Yemeni	296841000000102	523591000000116		22	16. Other ethnic group	3. Other
141411000000115	600000	9iF	9iF..00	Other - ethnic category 2001 census	92521000000101	141411000000115		22	16. Other ethnic group	3. Other
141621000000111	20000	9iF0	9iF0.00	Vietnamese - ethnic category 2001 census	92751000000101	141621000000111		22	16. Other ethnic group	3. Other
141631000000113	10000	9iF1	9iF1.00	Japanese - ethnic category 2001 census	92761000000103	141631000000113		22	16. Other ethnic group	3. Other
141641000000116	40000	9iF2	9iF2.00	Filipino - ethnic category 2001 census	92771000000105	141641000000116		22	16. Other ethnic group	3. Other
141651000000118	8000	9iF3	9iF3.00	Malaysian - ethnic category 2001 census	92781000000107	141651000000118		22	16. Other ethnic group	3. Other
138251000000111	100000	9iF9	9iF9.00	Arab - ethnic category 2001 census	89001000000105	138251000000111		22	16. Other ethnic group	3. Other
142811000000112	10000	9iFA	9iFA.00	North African - ethnic category 2001 census	94061000000107	142811000000112		22	16. Other ethnic group	3. Other
937871000006114	40000	9iFB	9iFB.00	Middle Eastern (excluding Israeli, Iranian and Arab) - ethnic category 2001 census	94071000000100	142821000000118		22	16. Other ethnic group	3. Other
